,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
10,6,1140000,134,0.0,-227.97095,-995.46354,-43.04202,-229.81621,-44.72098,-36.26611,-29.67933,-20.11892,-12.47156,-23.87038,-22.85806,-23.06193,-19.87087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6,1140000,195,0.0,-113.19893,-305.90121,-311.48424,-283.2979,-214.23267,-206.1033,-102.13532,-70.6712,-37.31682,-18.46602,-4.5777,-1.62929,-1.93792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6,1140000,131,0.0,-313.72094,-1076.60817,-284.18466,-124.12547,-90.6209,-25.45135,-67.91777,-51.04044,-38.05181,-30.70364,-23.33247,-24.59527,-12.31008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,1140000,132,0.0,-345.58577,-252.84926,-225.45498,-254.4317,-88.67597,-88.79803,-76.46112,-53.55575,-27.66552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,1140000,141,0.0,-74.63872,-377.68329,34.06658,-124.79087,37.33563,-18.34809,-15.6847,-14.13685,-10.67732,-10.13958,-7.72015,-6.95373,-3.83985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6,1140000,114,0.0,-34.40107,-25.6063,-2.8616,-22.30476,-2.48333,-1.26351,-1.3529,-2.24333,-0.43166,-2.47107,-2.37772,-1.29564,-2.64809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6,1140000,153,0.0,-295.73589,-1036.34718,-1129.50232,-211.27816,-177.91418,-131.87171,-112.55981,-87.39805,-113.21054,-66.43947,-41.94733,-33.14991,-30.62288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6,1140000,155,0.0,-575.91896,-2864.45144,-841.36568,-173.58953,-120.60912,-83.91561,-80.80077,-25.85949,-88.05002,-88.22556,-67.64388,-47.17387,-41.2569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6,1140000,156,0.0,-418.60653,-1395.99236,-536.32321,-146.28752,-75.50084,-55.4226,-51.04406,-31.72077,-16.70887,-59.40736,-34.55525,-20.75236,-10.39855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6,1140000,189,0.0,-276.48334,-422.86159,-2.70832,-76.84799,3.42269,-23.90068,-23.81824,-24.20226,-22.33268,-22.4857,-17.17675,-15.18876,-9.5384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6,1140000,257,0.0,-169.55542,-1689.24513,179.97274,71.46147,-26.17491,-24.73034,1.79279,-10.40338,-12.14237,-11.60675,-9.37721,-7.61802,-8.48584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6,1140000,196,0.0,-224.87845,-1059.7728,-447.31544,-243.24434,-111.70944,-116.86479,-130.37861,-114.89707,-92.09653,-56.40671,-41.4242,-43.96134,-23.70812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6,1140000,162,0.0,-540.84467,-2068.05415,178.10145,-673.56991,-884.4052,-274.21315,-216.14869,-100.82438,-203.15356,-215.64813,-188.45641,-162.10107,-105.07988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,6,1140000,287,0.0,-16.37706,-47.18089,11.86698,-14.67003,-5.12489,-3.83247,-4.31045,-1.00659,-1.30006,-1.16403,-1.00524,-0.50673,-0.23933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6,1140000,203,0.0,-760.21392,-5380.61275,-932.58567,-644.53782,-140.19212,-406.42454,-306.69633,-141.1572,-101.69806,-139.71984,-229.84347,-184.98677,-119.07166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6,1140000,230,0.0,-29.28219,-344.39788,126.77984,-26.17212,-5.21346,-24.94357,0.51805,-0.17273,0.45451,-1.73047,-0.8806,-0.34185,-1.7397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6,1140000,227,0.0,-147.82519,-1044.04056,257.29255,-79.90366,-51.1156,-48.11141,-29.43958,-22.31957,-22.48062,-21.65162,-17.17917,-17.1628,-18.31246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6,1140000,262,0.0,-535.08537,-1915.1258,-1226.58176,-377.99961,-302.01455,-281.61689,-229.08361,-161.53836,-184.93319,-181.79237,-160.51616,-136.62731,-44.94665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
